"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Пользователь не может войти на сайт,если поле пароль не заполнено. Пользователь получает уведомление об ошибке.","20706","Проверка входа в систему без пароля","SauceDemo SmokeTest","Wed Aug 20 19:49:42 UTC 2025","failed","Wed Aug 20 19:50:03 UTC 2025","tests.LoginTest","Thread#1","tests.LoginTest","checkLoginWithoutPassword"
"Проверка прогрузки контента.","20437","Проверка заголовка на страницы","SauceDemo SmokeTest","Wed Aug 20 19:51:27 UTC 2025","broken","Wed Aug 20 19:51:47 UTC 2025","tests.ProductsTest","Thread#2","tests.ProductsTest","checkTitleOnProductPage"
"Пользователь не может войти на сайт,если поле пароль и имя заполнено некорректными данными. Пользователь получает уведомление об ошибке.","20594","checkLoginWithNegativeValue","SauceDemo SmokeTest","Wed Aug 20 19:47:36 UTC 2025","passed","Wed Aug 20 19:47:56 UTC 2025","tests.LoginTest","Thread#1","tests.LoginTest","checkLoginWithNegativeValue"
"Пользователь может удалить товар из корзины со страницы товаров не переходя в саму корзину.","20607","Проверка удаления товара из корзины со страницы товаров","SauceDemo SmokeTest","Wed Aug 20 19:47:14 UTC 2025","broken","Wed Aug 20 19:47:35 UTC 2025","tests.ProductsTest","Thread#2","tests.ProductsTest","checkItemRemoveFromCart"
"Успешный вход пользователя на сайт.","20448","Проверка успешного входа","SauceDemo SmokeTest","Wed Aug 20 19:51:05 UTC 2025","broken","Wed Aug 20 19:51:25 UTC 2025","tests.LoginTest","Thread#1","tests.LoginTest","checkLogin"
"Пользователь может переходить между страницей товаров и карточкой продукта.","20421","Проверка перехода между страницами","SauceDemo SmokeTest","Wed Aug 20 19:50:24 UTC 2025","broken","Wed Aug 20 19:50:45 UTC 2025","tests.ProductsTest","Thread#2","tests.ProductsTest","checkNavigationBetweenItemAndProducts"
"Пользователь не может войти на сайт,если поле пароль и имя заполнено некорректными данными. Пользователь получает уведомление об ошибке.","20601","checkLoginWithNegativeValue","SauceDemo SmokeTest","Wed Aug 20 19:46:11 UTC 2025","failed","Wed Aug 20 19:46:32 UTC 2025","tests.LoginTest","Thread#1","tests.LoginTest","checkLoginWithNegativeValue"
"Пользователь может удалить товар из корзины с карточки товара не переходя в саму корзину.","20534","Проверка удаления товара из корзины с карточки товара","SauceDemo SmokeTest","Wed Aug 20 19:49:21 UTC 2025","broken","Wed Aug 20 19:49:42 UTC 2025","tests.ProductsTest","Thread#2","tests.ProductsTest","checkItemRemoveFromCartFromItemPage"
"Пользователь может добавить товар в корзину со страницы товаров.","20602","Проверка добавления товара в корзину со страницы товаров","SauceDemo SmokeTest","Wed Aug 20 19:46:11 UTC 2025","broken","Wed Aug 20 19:46:32 UTC 2025","tests.ProductsTest","Thread#2","tests.ProductsTest","checkItemAddToCart"
"Пользователь может добавить товар в корзину с карточки товара.","20659","Проверка добавления товара в корзину с карточки товара","SauceDemo SmokeTest","Wed Aug 20 19:48:18 UTC 2025","broken","Wed Aug 20 19:48:38 UTC 2025","tests.ProductsTest","Thread#2","tests.ProductsTest","checkItemAddToCartFromItemPage"
"Пользователь не может войти на сайт,если поле пароль и имя заполнено некорректными данными. Пользователь получает уведомление об ошибке.","20572","checkLoginWithNegativeValue","SauceDemo SmokeTest","Wed Aug 20 19:47:14 UTC 2025","failed","Wed Aug 20 19:47:35 UTC 2025","tests.LoginTest","Thread#1","tests.LoginTest","checkLoginWithNegativeValue"
"Пользователь не может войти на сайт,если поле Имя не заполнено. Пользователь получает уведомление об ошибке.","20630","checkLoginWithoutUsername","SauceDemo SmokeTest","Wed Aug 20 19:48:39 UTC 2025","failed","Wed Aug 20 19:48:59 UTC 2025","tests.LoginTest","Thread#1","tests.LoginTest","checkLoginWithoutUsername"
